"","Lecture","Responsive","Student_Guide","Lab_Exercises","Classroom","Computer","Network","See_Hear","Had_Knowledge_Skills","Learned_What_I_Needed","Technical_Details"
"162",40,40,30,30,30,30,40,40,40,40,30
"163",40,40,40,40,20,30,40,40,40,30,30
"164",40,40,40,40,40,40,40,40,40,40,40
"165",40,40,40,40,30,30,30,40,40,30,30
"166",40,30,30,30,30,30,30,30,30,30,30
"167",40,40,30,30,30,40,40,40,30,30,40
"168",40,40,40,40,30,30,40,40,40,40,40
"169",30,40,30,30,30,30,30,30,30,30,30
"170",40,40,NA,40,40,40,40,40,40,30,40
"171",40,40,30,30,30,30,30,30,30,30,30
"172",30,40,20,20,30,30,30,40,40,20,20
"173",40,40,30,30,40,40,40,30,30,40,40
"174",40,40,40,40,40,40,40,40,40,40,40
"175",40,40,30,30,30,40,40,40,40,30,40
"176",40,40,40,40,40,40,40,40,40,40,40
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",30,30,30,30,30,30,20,30,20,30,30
"179",40,40,30,30,30,30,30,40,30,30,30
"180",30,30,40,40,30,30,30,40,30,30,30
"181",40,30,40,30,40,40,40,40,30,30,30
"182",40,40,40,40,40,40,40,40,30,40,40
"183",30,30,30,30,30,30,30,30,30,30,30
"184",30,40,40,40,30,40,40,40,30,30,30
"185",30,30,40,30,40,40,40,40,40,30,30
"186",40,40,40,40,40,40,40,40,40,40,40
"187",40,40,40,40,40,40,40,40,40,40,40
"188",40,40,30,30,40,30,30,30,30,30,30
"189",40,40,30,30,30,30,30,30,30,30,30
"190",30,40,30,30,30,40,40,30,30,30,30
"191",40,40,40,40,40,40,40,40,40,40,40
"192",30,30,30,30,30,30,30,30,30,30,30
"193",30,40,30,30,40,40,40,40,40,40,30
"194",40,40,40,30,40,40,40,40,30,40,30
"195",40,40,30,30,30,30,30,30,40,30,30
"196",30,40,30,30,40,40,40,30,30,30,30
"197",30,30,40,30,20,40,40,40,40,30,30
"198",30,40,30,30,30,40,40,40,30,30,30
"199",30,30,40,40,30,40,40,40,30,30,20
"200",30,30,30,30,30,30,30,30,30,30,30
"201",40,40,40,40,30,40,40,40,40,40,40
"202",40,40,40,40,30,40,40,40,30,40,40
"203",30,30,30,30,30,30,30,30,30,30,30
"204",30,30,30,30,20,30,30,30,30,30,30
"205",40,40,30,30,30,30,30,30,30,30,30
"206",40,40,40,30,30,40,30,40,40,40,40
"207",40,30,30,30,30,40,40,40,30,30,30
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",40,40,40,40,30,40,30,40,30,30,30
"210",30,30,30,30,30,30,30,30,30,30,30
"211",40,40,40,40,40,40,40,40,30,30,30
"212",40,40,40,40,40,40,40,40,40,40,30
"213",30,30,30,30,30,30,30,30,30,30,30
"214",40,40,30,40,40,40,40,40,40,30,40
"215",30,30,30,30,30,30,30,30,30,30,30
"216",40,40,40,40,40,40,40,40,40,30,30
"217",40,40,30,40,30,30,30,40,30,40,40
"218",30,30,30,30,30,30,30,30,40,30,30
"219",40,40,40,40,40,40,40,40,30,40,40
"220",40,40,40,40,40,40,30,40,20,30,30
"221",40,40,40,40,40,40,40,40,40,40,40
